filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x800e59 	
| V:1 D:1 Tag: 0x410d87 	
| V:1 D:1 Tag: 0x410d88 	
| V:1 D:1 Tag: 0x410d89 	
| V:1 D:1 Tag: 0x410d8a 	
| V:1 D:1 Tag: 0x410d8b 	
| V:1 D:1 Tag: 0x410d8c 	
| V:1 D:1 Tag: 0x410d8d 	
| V:1 D:1 Tag: 0x410d8e 	
| V:1 D:1 Tag: 0x410d8f 	
| V:1 D:1 Tag: 0x410d90 	
| V:1 D:1 Tag: 0x410d91 	
| V:1 D:1 Tag: 0x410d92 	
| V:1 D:1 Tag: 0x410d93 	
| V:1 D:1 Tag: 0x410d94 	
| V:1 D:1 Tag: 0x410d95 	
| V:1 D:1 Tag: 0x410d96 	
| V:1 D:1 Tag: 0x410d97 	
| V:1 D:1 Tag: 0x410d98 	
| V:1 D:1 Tag: 0x410d99 	
| V:1 D:1 Tag: 0x410d9a 	
| V:1 D:1 Tag: 0x410d9b 	
| V:1 D:1 Tag: 0x410d9c 	
| V:1 D:1 Tag: 0x410d9d 	
| V:1 D:1 Tag: 0x410d9e 	
| V:1 D:1 Tag: 0x410d9f 	
| V:1 D:1 Tag: 0x410da0 	
| V:1 D:1 Tag: 0x410da1 	
| V:1 D:1 Tag: 0x410da2 	
| V:1 D:1 Tag: 0x410da3 	
| V:1 D:1 Tag: 0x410da4 	
| V:1 D:1 Tag: 0x410da5 	
| V:1 D:1 Tag: 0x410da6 	
| V:1 D:1 Tag: 0x410da7 	
| V:1 D:1 Tag: 0x410da8 	
| V:1 D:1 Tag: 0x410da9 	
| V:1 D:1 Tag: 0x410daa 	
| V:1 D:1 Tag: 0x410dab 	
| V:1 D:1 Tag: 0x410dac 	
| V:1 D:1 Tag: 0x410dad 	
| V:1 D:1 Tag: 0x410dae 	
| V:1 D:1 Tag: 0x410daf 	
| V:1 D:1 Tag: 0x410db0 	
| V:1 D:1 Tag: 0x410db1 	
| V:1 D:1 Tag: 0x410db2 	
| V:1 D:1 Tag: 0x410db3 	
| V:1 D:1 Tag: 0x410db4 	
| V:1 D:1 Tag: 0x410db5 	
| V:1 D:1 Tag: 0x410db6 	
| V:1 D:1 Tag: 0x410db7 	
| V:1 D:1 Tag: 0x410db8 	
| V:1 D:1 Tag: 0x410db9 	
| V:1 D:1 Tag: 0x410dba 	
| V:1 D:1 Tag: 0x410dbb 	
| V:1 D:1 Tag: 0x410dbc 	
| V:1 D:1 Tag: 0x410dbd 	
| V:1 D:1 Tag: 0x410dbe 	
| V:1 D:1 Tag: 0x410dbf 	
| V:1 D:1 Tag: 0x410dc0 	
| V:1 D:1 Tag: 0x410dc1 	
