filename = Config/Base_32.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80b4 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x809c 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80a4 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80ac 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b9 	
| V:1 D:0 Tag: 0x80bd 	
| V:1 D:0 Tag: 0x80bd 	
| V:1 D:0 Tag: 0x80bd 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b9 	
| V:1 D:0 Tag: 0x80b9 	
| V:1 D:0 Tag: 0x80b4 	
| V:1 D:0 Tag: 0x80b0 	
=========================L1D=========================
| V:1 D:0 Tag: 0x8182 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8166 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x815e 	
| V:1 D:0 Tag: 0x815a 	
| V:1 D:0 Tag: 0x815e 	
| V:1 D:1 Tag: 0x8104 	
| V:1 D:1 Tag: 0x8104 	
| V:1 D:1 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:1 Tag: 0x8104 	
| V:1 D:1 Tag: 0x8104 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:0 Tag: 0x815f 	
| V:1 D:0 Tag: 0x8162 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8104 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x80e8 	
| V:1 D:0 Tag: 0x80e8 	
| V:1 D:0 Tag: 0x80e8 	
| V:1 D:0 Tag: 0x80e8 	
| V:1 D:0 Tag: 0x80e8 	
| V:1 D:0 Tag: 0x80e8 	
| V:1 D:0 Tag: 0x815e 	
| V:1 D:0 Tag: 0x8154 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:1 Tag: 0x8104 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x814f 	
| V:1 D:0 Tag: 0x8118 	
| V:1 D:0 Tag: 0x8118 	
| V:1 D:0 Tag: 0x8118 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x816a 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x81a5 	
| V:1 D:0 Tag: 0x8154 	
| V:1 D:0 Tag: 0x815c 	
| V:1 D:0 Tag: 0x81fc 	
| V:1 D:0 Tag: 0x815c 	
| V:1 D:0 Tag: 0x80e9 	
| V:1 D:0 Tag: 0x80e9 	
| V:1 D:0 Tag: 0x815a 	
| V:1 D:0 Tag: 0x811a 	
| V:1 D:0 Tag: 0x811a 	
| V:1 D:0 Tag: 0x81fc 	
| V:1 D:0 Tag: 0x80e9 	
| V:1 D:0 Tag: 0x8167 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8159 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x815e 	
| V:1 D:0 Tag: 0x815d 	
| V:1 D:0 Tag: 0x815c 	
| V:1 D:1 Tag: 0x83b4 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x816a 	
| V:1 D:0 Tag: 0x816a 	
| V:1 D:0 Tag: 0x80e9 	
| V:1 D:0 Tag: 0x8156 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x815a 	
| V:1 D:0 Tag: 0x8151 	
| V:1 D:0 Tag: 0x8105 	
| V:1 D:0 Tag: 0x816a 	
| V:1 D:0 Tag: 0x8173 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x815c 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x815f 	
| V:1 D:0 Tag: 0x815a 	
| V:1 D:0 Tag: 0x8163 	
| V:1 D:0 Tag: 0x815e 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:0 Tag: 0x814d 	
| V:1 D:0 Tag: 0x815a 	
| V:1 D:1 Tag: 0x8130 	
| V:1 D:1 Tag: 0x8130 	
| V:1 D:1 Tag: 0x8130 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:1 Tag: 0x8130 	
| V:1 D:1 Tag: 0x811a 	
| V:1 D:1 Tag: 0x811a 	
| V:1 D:0 Tag: 0x8130 	
| V:1 D:0 Tag: 0x815c 	
| V:1 D:0 Tag: 0x811a 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:1 Tag: 0x811a 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x815a 	
| V:1 D:0 Tag: 0x815e 	
| V:1 D:0 Tag: 0x815b 	
| V:1 D:0 Tag: 0x8162 	
| V:1 D:1 Tag: 0x8130 	
| V:1 D:0 Tag: 0x8130 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8158 	
| V:1 D:0 Tag: 0x815b 	
| V:1 D:0 Tag: 0x8166 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x815c 	
| V:1 D:0 Tag: 0x815e 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:0 Tag: 0x8113 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:0 Tag: 0x810c 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:0 Tag: 0x8112 	
