filename = Base.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x801a 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x802f 	
| V:1 D:0 Tag: 0x802f 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x801c 	
| V:1 D:0 Tag: 0x802f 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x800e 	
| V:1 D:0 Tag: 0x801f 	
| V:1 D:0 Tag: 0x800e 	
=========================L1D=========================
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8066 	
| V:1 D:0 Tag: 0x8066 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8065 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x806d 	
| V:1 D:1 Tag: 0x806d 	
| V:1 D:0 Tag: 0x805b 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x806a 	
| V:1 D:0 Tag: 0x806a 	
| V:1 D:1 Tag: 0x8065 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:1 Tag: 0x8074 	
| V:1 D:1 Tag: 0x8074 	
| V:1 D:1 Tag: 0x8074 	
| V:1 D:1 Tag: 0x8074 	
