filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80495b 	
| V:1 D:1 Tag: 0x80f69e 	
| V:1 D:0 Tag: 0x8092a0 	
| V:1 D:1 Tag: 0x407ffd0 	
| V:1 D:1 Tag: 0x407ffc4 	
| V:1 D:1 Tag: 0x80f560 	
| V:1 D:1 Tag: 0x80f6a7 	
| V:1 D:0 Tag: 0x8092cc 	
| V:1 D:0 Tag: 0x802e16 	
| V:1 D:0 Tag: 0x8092d2 	
| V:1 D:0 Tag: 0x8092c9 	
| V:1 D:1 Tag: 0x407ffc0 	
| V:1 D:1 Tag: 0x407ffc1 	
| V:1 D:1 Tag: 0x407ffbb 	
| V:1 D:1 Tag: 0x407ffba 	
| V:1 D:1 Tag: 0x407ffb9 	
| V:1 D:1 Tag: 0x407ffb8 	
| V:1 D:1 Tag: 0x407ffb7 	
| V:1 D:1 Tag: 0x407ffbc 	
| V:1 D:1 Tag: 0x80f76a 	
| V:1 D:1 Tag: 0x80f9ad 	
| V:1 D:1 Tag: 0x407ff84 	
| V:1 D:0 Tag: 0x80930e 	
| V:1 D:1 Tag: 0x407ff82 	
| V:1 D:1 Tag: 0x407ff7f 	
| V:1 D:1 Tag: 0x407ff83 	
| V:1 D:1 Tag: 0x407ff7e 	
| V:1 D:1 Tag: 0x407ff7a 	
| V:1 D:1 Tag: 0x407ff7d 	
| V:1 D:1 Tag: 0x407ff7c 	
| V:1 D:1 Tag: 0x407ff7b 	
| V:1 D:1 Tag: 0x407ff77 	
| V:1 D:1 Tag: 0x407ff78 	
| V:1 D:1 Tag: 0x407ff74 	
| V:1 D:1 Tag: 0x407ff73 	
| V:1 D:1 Tag: 0x407ff70 	
| V:1 D:1 Tag: 0x407ff6f 	
| V:1 D:1 Tag: 0x407ff6e 	
| V:1 D:1 Tag: 0x407ff6b 	
| V:1 D:1 Tag: 0x407ff69 	
| V:1 D:1 Tag: 0x407ff6a 	
| V:1 D:0 Tag: 0x80e661 	
| V:1 D:0 Tag: 0x8093bf 	
| V:1 D:1 Tag: 0x407ff66 	
| V:1 D:0 Tag: 0x808f19 	
| V:1 D:0 Tag: 0x808a2b 	
| V:1 D:0 Tag: 0x8089ff 	
| V:1 D:0 Tag: 0x808a30 	
| V:1 D:0 Tag: 0x808f11 	
| V:1 D:0 Tag: 0x808f10 	
| V:1 D:0 Tag: 0x8089fd 	
