filename = Config/All-FA_32.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80bdfa 	
| V:1 D:0 Tag: 0x809cdd 	
| V:1 D:0 Tag: 0x809cdc 	
| V:1 D:0 Tag: 0x809cdb 	
| V:1 D:0 Tag: 0x809cda 	
| V:1 D:0 Tag: 0x809cd9 	
| V:1 D:0 Tag: 0x809cd8 	
| V:1 D:0 Tag: 0x809cd7 	
| V:1 D:0 Tag: 0x809cd6 	
| V:1 D:0 Tag: 0x80b448 	
| V:1 D:0 Tag: 0x80b447 	
| V:1 D:0 Tag: 0x80b44a 	
| V:1 D:0 Tag: 0x80b446 	
| V:1 D:0 Tag: 0x80b632 	
| V:1 D:0 Tag: 0x80b631 	
| V:1 D:0 Tag: 0x80b542 	
| V:1 D:0 Tag: 0x80b541 	
| V:1 D:0 Tag: 0x80b55b 	
| V:1 D:0 Tag: 0x80b540 	
| V:1 D:0 Tag: 0x80b53f 	
| V:1 D:0 Tag: 0x80b53e 	
| V:1 D:0 Tag: 0x80b53d 	
| V:1 D:0 Tag: 0x80b53b 	
| V:1 D:0 Tag: 0x80b53a 	
| V:1 D:0 Tag: 0x80b539 	
| V:1 D:0 Tag: 0x80b538 	
| V:1 D:0 Tag: 0x80b630 	
| V:1 D:0 Tag: 0x80b62f 	

=========================L1D=========================
Index: 0x0 | V:1 D:1 Tag: 0x407ffcc 	
| V:1 D:1 Tag: 0x407ffd0 	
| V:1 D:1 Tag: 0x407ffcf 	
| V:1 D:1 Tag: 0x407ffd1 	
| V:1 D:0 Tag: 0x810432 	
| V:1 D:1 Tag: 0x810434 	
| V:1 D:0 Tag: 0x81042f 	
| V:1 D:0 Tag: 0x810421 	
| V:1 D:1 Tag: 0x810423 	
| V:1 D:0 Tag: 0x81041d 	
| V:1 D:0 Tag: 0x81040f 	
| V:1 D:1 Tag: 0x810411 	
| V:1 D:1 Tag: 0x81040c 	
| V:1 D:0 Tag: 0x811365 	
| V:1 D:1 Tag: 0x407ffcb 	
| V:1 D:1 Tag: 0x407ffca 	
| V:1 D:1 Tag: 0x407ffc9 	
| V:1 D:0 Tag: 0x811364 	
| V:1 D:1 Tag: 0x811a77 	
| V:1 D:1 Tag: 0x407ffc5 	
| V:1 D:1 Tag: 0x407ffc1 	
| V:1 D:0 Tag: 0x811351 	
| V:1 D:0 Tag: 0x810430 	
| V:1 D:0 Tag: 0x811350 	
| V:1 D:0 Tag: 0x81041e 	
| V:1 D:0 Tag: 0x81041f 	
| V:1 D:1 Tag: 0x81040d 	
| V:1 D:0 Tag: 0x811366 	
| V:1 D:0 Tag: 0x810c9a 	
| V:1 D:0 Tag: 0x810c9b 	
| V:1 D:0 Tag: 0x810561 	
| V:1 D:0 Tag: 0x811336 	
| V:1 D:1 Tag: 0x8103a6 	
| V:1 D:0 Tag: 0x811a4b 	
| V:1 D:1 Tag: 0x811a4c 	
| V:1 D:1 Tag: 0x407ffc8 	
| V:1 D:1 Tag: 0x81144c 	
| V:1 D:0 Tag: 0x810de5 	
| V:1 D:0 Tag: 0x810de6 	
| V:1 D:0 Tag: 0x810de4 	
| V:1 D:0 Tag: 0x80f9e9 	
| V:1 D:1 Tag: 0x407ffc4 	
| V:1 D:0 Tag: 0x811319 	
| V:1 D:0 Tag: 0x810c02 	
| V:1 D:1 Tag: 0x407ffd4 	
| V:1 D:1 Tag: 0x407ffd5 	
| V:1 D:1 Tag: 0x407ffd3 	
| V:1 D:0 Tag: 0x81183d 	
| V:1 D:0 Tag: 0x81128c 	
| V:1 D:0 Tag: 0x811280 	
| V:1 D:0 Tag: 0x407ffd2 	
| V:1 D:1 Tag: 0x407ff26 	
| V:1 D:1 Tag: 0x407ff23 	
| V:1 D:1 Tag: 0x407ff1e 	
| V:1 D:1 Tag: 0x407ff1d 	
| V:1 D:1 Tag: 0x407ff1c 	
| V:1 D:1 Tag: 0x407ff1b 	
| V:1 D:1 Tag: 0x407ff1a 	
| V:1 D:1 Tag: 0x407ff1f 	
| V:1 D:1 Tag: 0x407fdde 	
| V:1 D:1 Tag: 0x407fddf 	
| V:1 D:1 Tag: 0x407fddb 	
| V:1 D:1 Tag: 0x407fddd 	
| V:1 D:1 Tag: 0x407fddc 	
| V:1 D:1 Tag: 0x81040e 	
| V:1 D:1 Tag: 0x810410 	
| V:1 D:1 Tag: 0x407fdda 	
| V:1 D:1 Tag: 0x407fdd8 	
| V:1 D:1 Tag: 0x407fdd7 	
| V:1 D:1 Tag: 0x407fdd9 	
| V:1 D:0 Tag: 0x811ace 	
| V:1 D:0 Tag: 0x811395 	
| V:1 D:1 Tag: 0x407fdd4 	
| V:1 D:0 Tag: 0x810c7d 	
| V:1 D:0 Tag: 0x810405 	
| V:1 D:0 Tag: 0x810413 	
| V:1 D:0 Tag: 0x810c75 	
| V:1 D:0 Tag: 0x810402 	
| V:1 D:0 Tag: 0x810c7e 	
| V:1 D:0 Tag: 0x810403 	
| V:1 D:1 Tag: 0x407ff02 	
| V:1 D:0 Tag: 0x81133f 	
| V:1 D:1 Tag: 0x407fc9e 	
| V:1 D:1 Tag: 0x407ff01 	
| V:1 D:0 Tag: 0x80e80d 	
| V:1 D:1 Tag: 0x407fdcc 	
| V:1 D:1 Tag: 0x407fc9f 	
| V:1 D:1 Tag: 0x407fc9d 	
| V:1 D:1 Tag: 0x407fc9c 	
| V:1 D:1 Tag: 0x407fe02 	
| V:1 D:1 Tag: 0x407ff03 	
| V:1 D:1 Tag: 0x407fc99 	
| V:1 D:0 Tag: 0x810c8d 	
| V:1 D:0 Tag: 0x8103a8 	
| V:1 D:1 Tag: 0x407ff08 	
| V:1 D:1 Tag: 0x407fdcb 	
| V:1 D:1 Tag: 0x407fcc0 	
| V:1 D:1 Tag: 0x407fc9a 	
| V:1 D:1 Tag: 0x407fc98 	
| V:1 D:1 Tag: 0x407fc97 	
| V:1 D:0 Tag: 0x80e95c 	
| V:1 D:1 Tag: 0x407fc94 	
| V:1 D:0 Tag: 0x811359 	
| V:1 D:1 Tag: 0x407fdd2 	
| V:1 D:1 Tag: 0x407fdd3 	
| V:1 D:1 Tag: 0x407fdd5 	
| V:1 D:1 Tag: 0x407fdd1 	
| V:1 D:0 Tag: 0x80f011 	
| V:1 D:0 Tag: 0x811342 	
| V:1 D:1 Tag: 0x407ff25 	
| V:1 D:0 Tag: 0x8103b6 	
| V:1 D:0 Tag: 0x80e94e 	
| V:1 D:0 Tag: 0x811340 	
| V:1 D:0 Tag: 0x8103ad 	
| V:1 D:0 Tag: 0x80e949 	
| V:1 D:0 Tag: 0x8103ac 	
| V:1 D:0 Tag: 0x80e948 	
| V:1 D:1 Tag: 0x407fe01 	
| V:1 D:1 Tag: 0x407ff24 	
| V:1 D:0 Tag: 0x8103af 	
| V:1 D:0 Tag: 0x80e82c 	
| V:1 D:0 Tag: 0x8103b0 	
| V:1 D:0 Tag: 0x80e950 	
| V:1 D:0 Tag: 0x80e80c 	
| V:1 D:1 Tag: 0x407fdd0 	
| V:1 D:1 Tag: 0x811acf 	
| V:1 D:1 Tag: 0x407ff06 	
| V:1 D:0 Tag: 0x81131a 	
| V:1 D:1 Tag: 0x407ff05 	
| V:1 D:1 Tag: 0x407ff11 	
| V:1 D:1 Tag: 0x407ff12 	
| V:1 D:0 Tag: 0x81127e 	
| V:1 D:0 Tag: 0x810440 	
| V:1 D:1 Tag: 0x407ff22 	
| V:1 D:0 Tag: 0x812031 	
| V:1 D:0 Tag: 0x8112a8 	
| V:1 D:0 Tag: 0x811296 	
| V:1 D:0 Tag: 0x812020 	
| V:1 D:0 Tag: 0x811292 	
| V:1 D:0 Tag: 0x80e82b 	
| V:1 D:0 Tag: 0x812034 	
| V:1 D:0 Tag: 0x811291 	
| V:1 D:0 Tag: 0x81201e 	
| V:1 D:0 Tag: 0x80e82a 	
| V:1 D:0 Tag: 0x8112a7 	
| V:1 D:0 Tag: 0x811295 	
| V:1 D:0 Tag: 0x80e829 	
| V:1 D:0 Tag: 0x81203a 	
| V:1 D:0 Tag: 0x8112a6 	
| V:1 D:0 Tag: 0x80e828 	
| V:1 D:0 Tag: 0x812032 	
| V:1 D:0 Tag: 0x812033 	
| V:1 D:0 Tag: 0x811294 	
| V:1 D:0 Tag: 0x812038 	
| V:1 D:0 Tag: 0x8112a5 	
| V:1 D:0 Tag: 0x80e827 	
| V:1 D:0 Tag: 0x80deaf 	
| V:1 D:0 Tag: 0x811293 	
| V:1 D:0 Tag: 0x812021 	
| V:1 D:0 Tag: 0x80e55c 	
| V:1 D:0 Tag: 0x812039 	
| V:1 D:0 Tag: 0x8112a4 	
| V:1 D:0 Tag: 0x81201f 	
| V:1 D:0 Tag: 0x811287 	
| V:1 D:0 Tag: 0x80e826 	
| V:1 D:1 Tag: 0x407ff21 	
| V:1 D:1 Tag: 0x407ff19 	
| V:1 D:1 Tag: 0x407ff18 	
| V:1 D:1 Tag: 0x407ff17 	
| V:1 D:1 Tag: 0x407ff13 	
| V:1 D:0 Tag: 0x81135e 	
| V:1 D:0 Tag: 0x81183c 	
| V:1 D:1 Tag: 0x407ff20 	
| V:1 D:1 Tag: 0x811a78 	
| V:1 D:0 Tag: 0x81136a 	
| V:1 D:1 Tag: 0x811a7f 	
| V:1 D:1 Tag: 0x8120ad 	
| V:1 D:1 Tag: 0x813072 	
| V:1 D:1 Tag: 0x813073 	
| V:1 D:1 Tag: 0x813085 	
| V:1 D:0 Tag: 0x813086 	
| V:1 D:0 Tag: 0x811a7e 	
| V:1 D:0 Tag: 0x811a7b 	
| V:1 D:1 Tag: 0x407ff16 	
| V:1 D:0 Tag: 0x811367 	
| V:1 D:0 Tag: 0x811368 	
| V:1 D:0 Tag: 0x811354 	
| V:1 D:1 Tag: 0x813075 	
| V:1 D:0 Tag: 0x813078 	
| V:1 D:1 Tag: 0x813077 	
| V:1 D:1 Tag: 0x813076 	
| V:1 D:1 Tag: 0x813074 	
| V:1 D:0 Tag: 0x810c6f 	
| V:1 D:0 Tag: 0x813079 	
| V:1 D:0 Tag: 0x810c7c 	
| V:1 D:0 Tag: 0x810406 	
| V:1 D:0 Tag: 0x811353 	
| V:1 D:1 Tag: 0x83b458 	
| V:1 D:1 Tag: 0x8120c0 	
| V:1 D:0 Tag: 0x81213f 	
| V:1 D:1 Tag: 0x8120af 	
| V:1 D:1 Tag: 0x8120b2 	
| V:1 D:1 Tag: 0x8120b1 	
| V:1 D:0 Tag: 0x8120b0 	
| V:1 D:0 Tag: 0x8120b4 	
| V:1 D:1 Tag: 0x8120ae 	
| V:1 D:0 Tag: 0x812036 	
| V:1 D:0 Tag: 0x811297 	
| V:1 D:0 Tag: 0x81183e 	
| V:1 D:0 Tag: 0x81129f 	
| V:1 D:0 Tag: 0x81129e 	
| V:1 D:0 Tag: 0x81129d 	
| V:1 D:0 Tag: 0x81183f 	
| V:1 D:0 Tag: 0x81129c 	
| V:1 D:0 Tag: 0x81129b 	
| V:1 D:0 Tag: 0x81129a 	
| V:1 D:0 Tag: 0x811299 	
| V:1 D:0 Tag: 0x811840 	
| V:1 D:0 Tag: 0x81183a 	
| V:1 D:0 Tag: 0x811298 	
| V:1 D:0 Tag: 0x812035 	
| V:1 D:0 Tag: 0x811018 	
| V:1 D:0 Tag: 0x812037 	
| V:1 D:0 Tag: 0x8112a0 	
| V:1 D:0 Tag: 0x812007 	
| V:1 D:0 Tag: 0x8112f0 	
| V:1 D:0 Tag: 0x821307 	
| V:1 D:0 Tag: 0x81c5f9 	
| V:1 D:0 Tag: 0x8112a3 	
| V:1 D:0 Tag: 0x821305 	
| V:1 D:0 Tag: 0x823486 	
| V:1 D:0 Tag: 0x823497 	
| V:1 D:0 Tag: 0x823494 	
| V:1 D:0 Tag: 0x817359 	
| V:1 D:0 Tag: 0x817365 	
| V:1 D:0 Tag: 0x817363 	
| V:1 D:0 Tag: 0x817351 	
| V:1 D:0 Tag: 0x81822f 	
| V:1 D:0 Tag: 0x818200 	
| V:1 D:0 Tag: 0x818211 	
| V:1 D:0 Tag: 0x81820e 	
| V:1 D:0 Tag: 0x819df3 	
| V:1 D:0 Tag: 0x819de6 	
| V:1 D:0 Tag: 0x819df4 	
| V:1 D:0 Tag: 0x819df1 	
| V:1 D:0 Tag: 0x819dab 	
| V:1 D:0 Tag: 0x407ffce 	
| V:1 D:0 Tag: 0x81fc46 	
| V:1 D:0 Tag: 0x81fc50 	
| V:1 D:0 Tag: 0x81fc4d 	
| V:1 D:0 Tag: 0x81aa16 	
| V:1 D:0 Tag: 0x81aa36 	
| V:1 D:0 Tag: 0x81aa33 	
| V:1 D:0 Tag: 0x81a9f2 	
| V:1 D:0 Tag: 0x81a9ff 	
| V:1 D:0 Tag: 0x81a9fc 	

=========================L2==========================
Index: 0x0 | V:1 D:0 Tag: 0x405efd 	
| V:1 D:0 Tag: 0x405efc 	
| V:1 D:0 Tag: 0x405b7c 	
| V:1 D:0 Tag: 0x405b7b 	
| V:1 D:0 Tag: 0x405b7a 	
| V:1 D:0 Tag: 0x405b6d 	
| V:1 D:0 Tag: 0x405b6c 	
| V:1 D:0 Tag: 0x408219 	
| V:1 D:0 Tag: 0x408218 	
| V:1 D:0 Tag: 0x40821a 	
| V:1 D:0 Tag: 0x408217 	
| V:1 D:0 Tag: 0x408210 	
| V:1 D:0 Tag: 0x40820f 	
| V:1 D:0 Tag: 0x408211 	
| V:1 D:0 Tag: 0x40820e 	
| V:1 D:0 Tag: 0x408207 	
| V:1 D:0 Tag: 0x405b6b 	
| V:1 D:0 Tag: 0x405b6a 	
| V:1 D:0 Tag: 0x405b6e 	
| V:1 D:0 Tag: 0x203ffe0 	
| V:1 D:0 Tag: 0x405b69 	
| V:1 D:0 Tag: 0x405b68 	
| V:1 D:0 Tag: 0x203ffe2 	
| V:1 D:0 Tag: 0x405b67 	
| V:1 D:0 Tag: 0x203ffe5 	
| V:1 D:0 Tag: 0x405b66 	
| V:1 D:0 Tag: 0x405b79 	
| V:1 D:0 Tag: 0x4055d6 	
| V:1 D:0 Tag: 0x40864d 	
| V:1 D:0 Tag: 0x4082b0 	
| V:1 D:0 Tag: 0x4055d5 	
| V:1 D:0 Tag: 0x408d25 	
| V:1 D:0 Tag: 0x4055d4 	
| V:1 D:0 Tag: 0x405434 	
