filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x802439 	
| V:1 D:0 Tag: 0x807e2f 	
| V:1 D:0 Tag: 0x806605 	
| V:1 D:0 Tag: 0x805b27 	
| V:1 D:0 Tag: 0x80785e 	
| V:1 D:0 Tag: 0x807e2e 	
| V:1 D:1 Tag: 0x400275 	
| V:1 D:0 Tag: 0x80785d 	
| V:1 D:1 Tag: 0x400274 	
| V:1 D:0 Tag: 0x80785c 	
| V:1 D:0 Tag: 0x807e2d 	
| V:1 D:0 Tag: 0x805c55 	
| V:1 D:0 Tag: 0x80785b 	
| V:1 D:1 Tag: 0x400273 	
| V:1 D:0 Tag: 0x80785a 	
| V:1 D:0 Tag: 0x807e2c 	
| V:1 D:0 Tag: 0x807859 	
| V:1 D:1 Tag: 0x400272 	
| V:1 D:0 Tag: 0x807858 	
| V:1 D:0 Tag: 0x807e2b 	
| V:1 D:1 Tag: 0x400271 	
| V:1 D:0 Tag: 0x807857 	
| V:1 D:0 Tag: 0x807856 	
| V:1 D:0 Tag: 0x807e2a 	
| V:1 D:1 Tag: 0x400270 	
| V:1 D:0 Tag: 0x807855 	
| V:1 D:1 Tag: 0x40026f 	
| V:1 D:0 Tag: 0x807854 	
| V:1 D:0 Tag: 0x807e29 	
| V:1 D:0 Tag: 0x807853 	
| V:1 D:1 Tag: 0x40026e 	
| V:1 D:0 Tag: 0x807852 	
| V:1 D:0 Tag: 0x807e28 	
| V:1 D:0 Tag: 0x807851 	
| V:1 D:1 Tag: 0x40026d 	
| V:1 D:0 Tag: 0x807850 	
| V:1 D:0 Tag: 0x807e27 	
| V:1 D:1 Tag: 0x40026c 	
| V:1 D:0 Tag: 0x80784f 	
| V:1 D:0 Tag: 0x80784e 	
| V:1 D:1 Tag: 0x40026b 	
| V:1 D:0 Tag: 0x807e26 	
| V:1 D:0 Tag: 0x80784d 	
| V:1 D:1 Tag: 0x40026a 	
| V:1 D:0 Tag: 0x80784c 	
| V:1 D:0 Tag: 0x807e25 	
| V:1 D:0 Tag: 0x80784b 	
| V:1 D:1 Tag: 0x400269 	
| V:1 D:0 Tag: 0x80784a 	
| V:1 D:0 Tag: 0x807e24 	
| V:1 D:1 Tag: 0x400268 	
| V:1 D:0 Tag: 0x807849 	
| V:1 D:0 Tag: 0x807848 	
| V:1 D:0 Tag: 0x807e23 	
| V:1 D:1 Tag: 0x400267 	
| V:1 D:0 Tag: 0x807847 	
| V:1 D:0 Tag: 0x807846 	
| V:1 D:1 Tag: 0x400266 	
| V:1 D:0 Tag: 0x807e22 	
| V:1 D:0 Tag: 0x807845 	
| V:1 D:1 Tag: 0x400265 	
| V:1 D:0 Tag: 0x807844 	
| V:1 D:0 Tag: 0x807e21 	
| V:1 D:0 Tag: 0x807843 	
| V:1 D:1 Tag: 0x400264 	
| V:1 D:0 Tag: 0x807842 	
| V:1 D:0 Tag: 0x807e20 	
| V:1 D:1 Tag: 0x400263 	
| V:1 D:0 Tag: 0x807841 	
| V:1 D:0 Tag: 0x807840 	
| V:1 D:0 Tag: 0x807e1f 	
| V:1 D:1 Tag: 0x400262 	
| V:1 D:0 Tag: 0x80783f 	
| V:1 D:0 Tag: 0x80783e 	
| V:1 D:0 Tag: 0x807e1e 	
| V:1 D:1 Tag: 0x400261 	
| V:1 D:0 Tag: 0x80783d 	
| V:1 D:0 Tag: 0x80783c 	
| V:1 D:1 Tag: 0x400260 	
| V:1 D:0 Tag: 0x807e1d 	
| V:1 D:0 Tag: 0x80783b 	
| V:1 D:1 Tag: 0x40025f 	
| V:1 D:0 Tag: 0x80783a 	
| V:1 D:0 Tag: 0x807e1c 	
| V:1 D:0 Tag: 0x807839 	
| V:1 D:1 Tag: 0x40025e 	
| V:1 D:0 Tag: 0x807838 	
| V:1 D:0 Tag: 0x807e1b 	
| V:1 D:0 Tag: 0x807837 	
| V:1 D:1 Tag: 0x40025d 	
| V:1 D:0 Tag: 0x807836 	
| V:1 D:0 Tag: 0x807e1a 	
| V:1 D:1 Tag: 0x40025c 	
| V:1 D:0 Tag: 0x807835 	
| V:1 D:0 Tag: 0x807834 	
| V:1 D:0 Tag: 0x807e19 	
| V:1 D:1 Tag: 0x40025b 	
| V:1 D:0 Tag: 0x807833 	

=========================L2==========================
Index: 0x0 | V:1 D:0 Tag: 0x40121c 	
| V:1 D:0 Tag: 0x40121b 	
| V:1 D:0 Tag: 0x400f7e 	
| V:1 D:0 Tag: 0x400e4d 	
| V:1 D:0 Tag: 0x400f4c 	
| V:1 D:0 Tag: 0x400f4b 	
| V:1 D:0 Tag: 0x400f4d 	
| V:1 D:0 Tag: 0x203ffbb 	
| V:1 D:0 Tag: 0x400f4a 	
| V:1 D:1 Tag: 0x20012d 	
| V:1 D:0 Tag: 0x203ffbe 	
| V:1 D:0 Tag: 0x400f49 	
| V:1 D:0 Tag: 0x203ffbd 	
| V:1 D:0 Tag: 0x400f48 	
| V:1 D:0 Tag: 0x400e4c 	
| V:1 D:0 Tag: 0x400f7d 	
| V:1 D:0 Tag: 0x403450 	
| V:1 D:1 Tag: 0x20012c 	
| V:1 D:0 Tag: 0x400f7c 	
| V:1 D:0 Tag: 0x400f7b 	
| V:1 D:0 Tag: 0x400f6f 	
| V:1 D:0 Tag: 0x400f6e 	
| V:1 D:0 Tag: 0x4032be 	
| V:1 D:0 Tag: 0x4032bd 	
| V:1 D:0 Tag: 0x4032bf 	
| V:1 D:0 Tag: 0x4032bc 	
| V:1 D:0 Tag: 0x4032b5 	
| V:1 D:0 Tag: 0x400f6d 	
| V:1 D:0 Tag: 0x4032ad 	
| V:1 D:0 Tag: 0x400f6c 	
| V:1 D:0 Tag: 0x4032ac 	
| V:1 D:1 Tag: 0x20012b 	
| V:1 D:0 Tag: 0x4032ae 	
| V:1 D:0 Tag: 0x400f6b 	
| V:1 D:0 Tag: 0x400f70 	
| V:1 D:0 Tag: 0x400f6a 	
| V:1 D:0 Tag: 0x400f69 	
| V:1 D:0 Tag: 0x400f68 	
| V:1 D:0 Tag: 0x400bba 	
| V:1 D:0 Tag: 0x403467 	
| V:1 D:0 Tag: 0x403376 	
| V:1 D:0 Tag: 0x4035c6 	
| V:1 D:0 Tag: 0x400bb9 	
| V:1 D:0 Tag: 0x400bb8 	
| V:1 D:0 Tag: 0x40000a 	
| V:1 D:0 Tag: 0x400009 	
| V:1 D:0 Tag: 0x403518 	
| V:1 D:0 Tag: 0x40328d 	
| V:1 D:1 Tag: 0x20012a 	
| V:1 D:0 Tag: 0x400008 	
| V:1 D:0 Tag: 0x40364e 	
| V:1 D:0 Tag: 0x203ffc0 	
| V:1 D:0 Tag: 0x4023e4 	
| V:1 D:0 Tag: 0x203ffc2 	
| V:1 D:0 Tag: 0x400a3b 	
| V:1 D:0 Tag: 0x400a3a 	
| V:1 D:0 Tag: 0x400a39 	
| V:1 D:0 Tag: 0x40342d 	
| V:1 D:0 Tag: 0x400bb7 	
| V:1 D:0 Tag: 0x203ffc4 	
| V:1 D:0 Tag: 0x40342c 	
| V:1 D:1 Tag: 0x200129 	
| V:1 D:0 Tag: 0x40365b 	
| V:1 D:0 Tag: 0x400bb6 	
| V:1 D:0 Tag: 0x400bb5 	
| V:1 D:0 Tag: 0x403299 	
| V:1 D:0 Tag: 0x4035c5 	
| V:1 D:0 Tag: 0x400bb4 	
| V:1 D:0 Tag: 0x203ffe4 	
| V:1 D:0 Tag: 0x40018c 	
| V:1 D:0 Tag: 0x401047 	
| V:1 D:1 Tag: 0x4036e2 	
| V:1 D:0 Tag: 0x4036d9 	
| V:1 D:1 Tag: 0x200128 	
| V:1 D:0 Tag: 0x4036cf 	
| V:1 D:0 Tag: 0x4036d1 	
| V:1 D:0 Tag: 0x203ffbf 	
| V:1 D:0 Tag: 0x4036d3 	
| V:1 D:0 Tag: 0x4036d2 	
| V:1 D:1 Tag: 0x200127 	
| V:1 D:1 Tag: 0x4036d0 	
| V:1 D:0 Tag: 0x203ffc3 	
| V:1 D:0 Tag: 0x203ffc1 	
| V:1 D:1 Tag: 0x200126 	
| V:1 D:0 Tag: 0x4036a6 	
| V:1 D:0 Tag: 0x40352a 	
| V:1 D:0 Tag: 0x203ffc6 	
| V:1 D:1 Tag: 0x200125 	
| V:1 D:0 Tag: 0x400316 	
| V:1 D:0 Tag: 0x203ffc5 	
| V:1 D:0 Tag: 0x400315 	
| V:1 D:0 Tag: 0x400312 	
| V:1 D:0 Tag: 0x400d74 	
| V:1 D:0 Tag: 0x400eb6 	
| V:1 D:0 Tag: 0x400eb5 	
| V:1 D:0 Tag: 0x400ebb 	
| V:1 D:0 Tag: 0x400ebc 	
| V:1 D:0 Tag: 0x400eba 	
| V:1 D:0 Tag: 0x4032b6 	
| V:1 D:0 Tag: 0x400eb9 	
| V:1 D:0 Tag: 0x400eb8 	
| V:1 D:0 Tag: 0x400eb4 	
| V:1 D:1 Tag: 0x4032b4 	
| V:1 D:1 Tag: 0x200124 	
| V:1 D:0 Tag: 0x400eb3 	
| V:1 D:0 Tag: 0x400d73 	
| V:1 D:0 Tag: 0x403455 	
