filename = Base.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8061 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8070 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8076 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x807b 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x8071 	
| V:1 D:1 Tag: 0x4007 	
| V:1 D:1 Tag: 0x4007 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:1 Tag: 0x4007 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x806e 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x4007 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x8062 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:1 Tag: 0x806b 	
| V:1 D:0 Tag: 0x806b 	
| V:1 D:1 Tag: 0x806b 	
