filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2023 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2023 	
| V:1 D:0 Tag: 0x2057 	| V:1 D:0 Tag: 0x202e 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2057 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2045 	
| V:1 D:0 Tag: 0x2045 	| V:1 D:0 Tag: 0x204b 	
| V:1 D:0 Tag: 0x2050 	| V:1 D:0 Tag: 0x204f 	
| V:1 D:0 Tag: 0x2050 	| V:1 D:0 Tag: 0x2056 	
| V:1 D:0 Tag: 0x2042 	| V:1 D:0 Tag: 0x205a 	
| V:1 D:0 Tag: 0x1001 	| V:1 D:0 Tag: 0x2033 	
| V:1 D:0 Tag: 0x2033 	| V:1 D:0 Tag: 0x2049 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2041 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2041 	
| V:1 D:0 Tag: 0x205a 	| V:1 D:0 Tag: 0x2061 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x202b 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x202b 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2024 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2002 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x203c 	| V:1 D:0 Tag: 0x2026 	
| V:1 D:0 Tag: 0x200d 	| V:1 D:0 Tag: 0x2062 	
