filename = Base.txt
=========================L1I=========================
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x80ea 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x808b 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x80f6 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x49a5 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x80fa 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x80ed 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x4800 	
| V:1 D:1 Tag: 0x4800 	
| V:1 D:1 Tag: 0x4800 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8090 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8089 	
| V:1 D:0 Tag: 0x8089 	
| V:1 D:0 Tag: 0x489b 	
| V:1 D:0 Tag: 0x489b 	
| V:1 D:0 Tag: 0x4ba2 	
| V:1 D:0 Tag: 0x4000 	
| V:1 D:0 Tag: 0x489b 	
| V:1 D:0 Tag: 0x4000 	
| V:1 D:0 Tag: 0x4000 	
| V:1 D:0 Tag: 0x80ed 	
