filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x8005 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x800a 	
| V:1 D:0 Tag: 0x8007 	
| V:1 D:0 Tag: 0x8001 	
| V:1 D:0 Tag: 0x8002 	
=========================L1D=========================
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:0 Tag: 0x804f 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x8050 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
| V:1 D:1 Tag: 0x410e 	
