filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x802ada 	
| V:1 D:0 Tag: 0x802498 	
| V:1 D:0 Tag: 0x802497 	
| V:1 D:0 Tag: 0x802496 	
| V:1 D:0 Tag: 0x802217 	
| V:1 D:0 Tag: 0x802216 	
| V:1 D:0 Tag: 0x80220f 	
| V:1 D:0 Tag: 0x80220e 	
| V:1 D:0 Tag: 0x80220d 	
| V:1 D:0 Tag: 0x80220c 	
| V:1 D:0 Tag: 0x801280 	
| V:1 D:0 Tag: 0x8021c0 	
| V:1 D:0 Tag: 0x80341f 	
| V:1 D:0 Tag: 0x80341e 	
| V:1 D:0 Tag: 0x80341d 	
| V:1 D:0 Tag: 0x80341c 	
| V:1 D:0 Tag: 0x803435 	
| V:1 D:0 Tag: 0x803436 	
| V:1 D:0 Tag: 0x803434 	
| V:1 D:0 Tag: 0x803425 	
| V:1 D:0 Tag: 0x803461 	
| V:1 D:0 Tag: 0x803460 	
| V:1 D:0 Tag: 0x80345f 	
| V:1 D:0 Tag: 0x80249b 	
| V:1 D:0 Tag: 0x80345e 	
| V:1 D:0 Tag: 0x803da1 	
| V:1 D:0 Tag: 0x803da0 	
| V:1 D:0 Tag: 0x803d9f 	
| V:1 D:0 Tag: 0x803d9c 	
| V:1 D:0 Tag: 0x803d9b 	
| V:1 D:0 Tag: 0x803d9a 	
| V:1 D:0 Tag: 0x80345d 	
| V:1 D:0 Tag: 0x80345c 	
| V:1 D:0 Tag: 0x803478 	
| V:1 D:0 Tag: 0x803477 	
| V:1 D:0 Tag: 0x803476 	
| V:1 D:0 Tag: 0x803475 	
| V:1 D:0 Tag: 0x803474 	
| V:1 D:0 Tag: 0x803567 	
| V:1 D:0 Tag: 0x803566 	
| V:1 D:0 Tag: 0x803535 	
| V:1 D:0 Tag: 0x803472 	
| V:1 D:0 Tag: 0x80350a 	
| V:1 D:0 Tag: 0x803509 	
| V:1 D:0 Tag: 0x803471 	
| V:1 D:0 Tag: 0x803470 	

=========================L1D=========================
Index: 0x0 | V:1 D:1 Tag: 0x407ffcb 	
| V:1 D:1 Tag: 0x407ffd0 	
| V:1 D:1 Tag: 0x407ffcf 	
| V:1 D:1 Tag: 0x407ffce 	
| V:1 D:0 Tag: 0x806b8a 	
| V:1 D:1 Tag: 0x806b8c 	
| V:1 D:0 Tag: 0x806b87 	
| V:1 D:0 Tag: 0x806b79 	
| V:1 D:1 Tag: 0x806b7b 	
| V:1 D:1 Tag: 0x407ffcc 	
| V:1 D:1 Tag: 0x407ffca 	
| V:1 D:1 Tag: 0x806b76 	
| V:1 D:1 Tag: 0x806b77 	
| V:1 D:1 Tag: 0x806b78 	
| V:1 D:1 Tag: 0x407ffc6 	
| V:1 D:1 Tag: 0x407ffc7 	
| V:1 D:1 Tag: 0x407ffc1 	
| V:1 D:1 Tag: 0x407ffc3 	
| V:1 D:1 Tag: 0x8073e6 	
| V:1 D:0 Tag: 0x807225 	
| V:1 D:0 Tag: 0x8073e5 	
| V:1 D:1 Tag: 0x407ffbe 	
| V:1 D:1 Tag: 0x407ffc2 	
| V:1 D:1 Tag: 0x806b7a 	
| V:1 D:1 Tag: 0x407ffbd 	
| V:1 D:0 Tag: 0x806ea0 	
| V:1 D:0 Tag: 0x806e9f 	
| V:1 D:0 Tag: 0x806b5d 	
| V:1 D:0 Tag: 0x806b7d 	
| V:1 D:0 Tag: 0x806e97 	
| V:1 D:0 Tag: 0x806e96 	
| V:1 D:0 Tag: 0x806b68 	
| V:1 D:1 Tag: 0x806b6a 	
| V:1 D:0 Tag: 0x806b65 	
| V:1 D:1 Tag: 0x806b64 	
| V:1 D:0 Tag: 0x807250 	
| V:1 D:1 Tag: 0x407ffc9 	
| V:1 D:0 Tag: 0x80724f 	
| V:1 D:1 Tag: 0x807397 	
| V:1 D:1 Tag: 0x407ffc5 	
| V:1 D:0 Tag: 0x8072c5 	
| V:1 D:0 Tag: 0x806b88 	
| V:1 D:0 Tag: 0x8072c4 	
| V:1 D:0 Tag: 0x806b66 	
| V:1 D:0 Tag: 0x80724e 	
| V:1 D:1 Tag: 0x407ffc4 	
| V:1 D:0 Tag: 0x806ec4 	
| V:1 D:0 Tag: 0x806ec5 	
| V:1 D:0 Tag: 0x806cfb 	
| V:1 D:0 Tag: 0x807240 	
| V:1 D:0 Tag: 0x80723f 	
| V:1 D:1 Tag: 0x806b40 	
| V:1 D:0 Tag: 0x807376 	
| V:1 D:1 Tag: 0x807377 	
| V:1 D:1 Tag: 0x407ffc8 	
| V:1 D:1 Tag: 0x80734f 	
| V:1 D:0 Tag: 0x807037 	
| V:1 D:0 Tag: 0x807036 	
| V:1 D:0 Tag: 0x806b37 	
| V:1 D:0 Tag: 0x806e62 	
| V:1 D:1 Tag: 0x407ffd3 	
| V:1 D:1 Tag: 0x407ffd4 	
| V:1 D:1 Tag: 0x807398 	
| V:1 D:0 Tag: 0x807254 	
| V:1 D:1 Tag: 0x80739f 	
| V:1 D:1 Tag: 0x807d85 	
| V:1 D:1 Tag: 0x807791 	
| V:1 D:1 Tag: 0x8077a4 	
| V:1 D:0 Tag: 0x8077b1 	
| V:1 D:0 Tag: 0x80739e 	
| V:1 D:0 Tag: 0x80739b 	
| V:1 D:0 Tag: 0x807251 	
| V:1 D:0 Tag: 0x807252 	
| V:1 D:0 Tag: 0x807253 	
| V:1 D:0 Tag: 0x806b98 	
| V:1 D:0 Tag: 0x807243 	
| V:1 D:0 Tag: 0x806b99 	
| V:1 D:1 Tag: 0x807793 	
| V:1 D:1 Tag: 0x807796 	
| V:1 D:1 Tag: 0x407ffcd 	
| V:1 D:1 Tag: 0x807795 	
| V:1 D:0 Tag: 0x807794 	
| V:1 D:0 Tag: 0x806e99 	
| V:1 D:0 Tag: 0x806b5b 	
| V:1 D:0 Tag: 0x807798 	
| V:1 D:1 Tag: 0x807792 	
| V:1 D:0 Tag: 0x806ea6 	
| V:1 D:0 Tag: 0x806ea7 	
| V:1 D:0 Tag: 0x806b5e 	
| V:1 D:0 Tag: 0x807266 	
| V:1 D:0 Tag: 0x807242 	
| V:1 D:0 Tag: 0x80742d 	
| V:1 D:1 Tag: 0x407ffd1 	
| V:1 D:1 Tag: 0x40000f 	
| V:1 D:0 Tag: 0x80529f 	
| V:1 D:1 Tag: 0x40000e 	
| V:1 D:0 Tag: 0x80529e 	
| V:1 D:1 Tag: 0x407ffc0 	
| V:1 D:0 Tag: 0x806ea8 	
| V:1 D:0 Tag: 0x806b5c 	
| V:1 D:0 Tag: 0x807246 	
| V:1 D:0 Tag: 0x807156 	
| V:1 D:1 Tag: 0x407fe90 	
| V:1 D:1 Tag: 0x407fe8c 	
| V:1 D:0 Tag: 0x8051ff 	
| V:1 D:1 Tag: 0x407fe91 	
| V:1 D:1 Tag: 0x407fe8f 	
| V:1 D:1 Tag: 0x407fe8e 	
| V:1 D:1 Tag: 0x407fe8a 	
| V:1 D:1 Tag: 0x407fe8b 	
| V:1 D:1 Tag: 0x407feb2 	
| V:1 D:0 Tag: 0x806270 	
| V:1 D:0 Tag: 0x8072ae 	
| V:1 D:1 Tag: 0x407ffd6 	
| V:1 D:0 Tag: 0x806c11 	
| V:1 D:0 Tag: 0x806128 	
| V:1 D:0 Tag: 0x8072ac 	
| V:1 D:1 Tag: 0x40000d 	
| V:1 D:0 Tag: 0x8072ab 	
| V:1 D:1 Tag: 0x407ffd7 	
| V:1 D:0 Tag: 0x807421 	
| V:1 D:0 Tag: 0x8070ea 	
| V:1 D:0 Tag: 0x8051fe 	
| V:1 D:1 Tag: 0x40000c 	
| V:1 D:0 Tag: 0x807434 	
| V:1 D:0 Tag: 0x8070de 	
| V:1 D:0 Tag: 0x8051fd 	
| V:1 D:0 Tag: 0x807422 	
| V:1 D:0 Tag: 0x8070dc 	
| V:1 D:1 Tag: 0x407fe89 	
| V:1 D:1 Tag: 0x40000b 	
| V:1 D:0 Tag: 0x8051fc 	
| V:1 D:1 Tag: 0x407fe86 	
| V:1 D:0 Tag: 0x8070e9 	
| V:1 D:0 Tag: 0x807645 	
| V:1 D:0 Tag: 0x80742a 	
| V:1 D:0 Tag: 0x8070e5 	
| V:1 D:1 Tag: 0x407ffd2 	
| V:1 D:0 Tag: 0x8051fb 	
| V:1 D:1 Tag: 0x40000a 	
| V:1 D:0 Tag: 0x8051fa 	
| V:1 D:1 Tag: 0x400009 	
| V:1 D:0 Tag: 0x807417 	
| V:1 D:0 Tag: 0x8051f9 	
| V:1 D:0 Tag: 0x80742f 	
| V:1 D:0 Tag: 0x8070e8 	
| V:1 D:0 Tag: 0x8070d7 	
| V:1 D:1 Tag: 0x407fe84 	
| V:1 D:1 Tag: 0x407fe85 	
| V:1 D:1 Tag: 0x407fe81 	
| V:1 D:0 Tag: 0x8052c6 	
| V:1 D:1 Tag: 0x407ffb2 	
| V:1 D:1 Tag: 0x407fe83 	
| V:1 D:1 Tag: 0x407fe82 	
| V:1 D:0 Tag: 0x8052c5 	
| V:1 D:1 Tag: 0x407fe7f 	
| V:1 D:1 Tag: 0x407fe80 	
| V:1 D:1 Tag: 0x407fe6f 	
| V:1 D:1 Tag: 0x407ffb1 	
| V:1 D:1 Tag: 0x407fe73 	
| V:1 D:1 Tag: 0x400008 	
| V:1 D:1 Tag: 0x407fe7d 	
| V:1 D:1 Tag: 0x407fe74 	
| V:1 D:1 Tag: 0x407fe6e 	
| V:1 D:1 Tag: 0x407fe70 	
| V:1 D:0 Tag: 0x8061d0 	
| V:1 D:1 Tag: 0x407fe6b 	
| V:1 D:1 Tag: 0x407fe7e 	
| V:1 D:1 Tag: 0x407fe7b 	
| V:1 D:1 Tag: 0x407fe7c 	
| V:1 D:1 Tag: 0x407fe75 	
| V:1 D:1 Tag: 0x407fe79 	
| V:1 D:0 Tag: 0x80609c 	
| V:1 D:0 Tag: 0x807752 	
| V:1 D:0 Tag: 0x8072b4 	
| V:1 D:0 Tag: 0x8072b1 	
| V:1 D:1 Tag: 0x407fe76 	
| V:1 D:1 Tag: 0x407fe77 	
| V:1 D:1 Tag: 0x407ffb3 	
| V:1 D:0 Tag: 0x806c9b 	
| V:1 D:0 Tag: 0x806c01 	
| V:1 D:1 Tag: 0x407ffbb 	
| V:1 D:1 Tag: 0x407ffbc 	
| V:1 D:1 Tag: 0x407ffba 	
| V:1 D:1 Tag: 0x407ffb9 	
| V:1 D:0 Tag: 0x806c12 	
| V:1 D:1 Tag: 0x407ffb8 	
| V:1 D:1 Tag: 0x407ffb7 	
| V:1 D:0 Tag: 0x80742b 	
| V:1 D:0 Tag: 0x8071d8 	
| V:1 D:0 Tag: 0x8052c4 	
| V:1 D:1 Tag: 0x407ffbf 	
| V:1 D:1 Tag: 0x407fea7 	
| V:1 D:0 Tag: 0x80614e 	
| V:1 D:1 Tag: 0x407fe7a 	
| V:1 D:0 Tag: 0x8072c9 	
| V:1 D:0 Tag: 0x806c19 	
| V:1 D:0 Tag: 0x806c10 	
| V:1 D:0 Tag: 0x806122 	
| V:1 D:1 Tag: 0x400007 	
| V:1 D:0 Tag: 0x8052c3 	
| V:1 D:1 Tag: 0x400006 	
| V:1 D:0 Tag: 0x8071d7 	
| V:1 D:0 Tag: 0x8071d3 	
