filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x800a67 	
| V:1 D:0 Tag: 0x8187e3 	
| V:1 D:0 Tag: 0x8187e4 	
| V:1 D:0 Tag: 0x8187f3 	
| V:1 D:0 Tag: 0x8187f4 	
| V:1 D:0 Tag: 0x818801 	
| V:1 D:0 Tag: 0x818802 	
| V:1 D:0 Tag: 0x818807 	
| V:1 D:0 Tag: 0x818808 	
| V:1 D:0 Tag: 0x81880d 	
| V:1 D:0 Tag: 0x81880e 	
| V:1 D:0 Tag: 0x818813 	
| V:1 D:0 Tag: 0x818814 	
| V:1 D:0 Tag: 0x818819 	
| V:1 D:0 Tag: 0x81881a 	
| V:1 D:0 Tag: 0x81881f 	
| V:1 D:0 Tag: 0x818820 	
| V:1 D:0 Tag: 0x818825 	
| V:1 D:0 Tag: 0x818826 	
| V:1 D:0 Tag: 0x81882b 	
| V:1 D:0 Tag: 0x81882c 	
| V:1 D:0 Tag: 0x81883b 	
| V:1 D:0 Tag: 0x81883c 	
| V:1 D:0 Tag: 0x818849 	
| V:1 D:0 Tag: 0x81884a 	
| V:1 D:0 Tag: 0x81884f 	
| V:1 D:0 Tag: 0x818850 	
| V:1 D:0 Tag: 0x818855 	
| V:1 D:0 Tag: 0x818856 	
| V:1 D:0 Tag: 0x81885b 	
| V:1 D:0 Tag: 0x81885c 	
| V:1 D:0 Tag: 0x818861 	
| V:1 D:0 Tag: 0x818862 	
| V:1 D:0 Tag: 0x818867 	
| V:1 D:0 Tag: 0x818868 	
| V:1 D:0 Tag: 0x81886d 	
| V:1 D:0 Tag: 0x81886e 	
| V:1 D:0 Tag: 0x81887d 	
| V:1 D:0 Tag: 0x81887e 	
| V:1 D:0 Tag: 0x818883 	
| V:1 D:0 Tag: 0x818884 	
| V:1 D:0 Tag: 0x818889 	
| V:1 D:0 Tag: 0x81888a 	
| V:1 D:0 Tag: 0x81888f 	
| V:1 D:0 Tag: 0x818890 	
| V:1 D:0 Tag: 0x818895 	
| V:1 D:0 Tag: 0x818896 	
| V:1 D:0 Tag: 0x81889d 	
| V:1 D:0 Tag: 0x81889e 	
| V:1 D:0 Tag: 0x8188a5 	
| V:1 D:0 Tag: 0x8188a6 	
| V:1 D:0 Tag: 0x8188b7 	
| V:1 D:0 Tag: 0x8188b8 	
| V:1 D:0 Tag: 0x8188bf 	
| V:1 D:0 Tag: 0x8188c0 	
| V:1 D:0 Tag: 0x8188c7 	
| V:1 D:0 Tag: 0x8188c8 	
| V:1 D:0 Tag: 0x8188d1 	
| V:1 D:0 Tag: 0x8188d2 	
| V:1 D:0 Tag: 0x8188db 	
| V:1 D:0 Tag: 0x8188dc 	
| V:1 D:0 Tag: 0x8188e5 	
| V:1 D:0 Tag: 0x8188e6 	
| V:1 D:0 Tag: 0x8188fb 	
| V:1 D:0 Tag: 0x8188fc 	
| V:1 D:0 Tag: 0x818907 	
| V:1 D:0 Tag: 0x818908 	
| V:1 D:0 Tag: 0x818913 	
| V:1 D:0 Tag: 0x818914 	
| V:1 D:0 Tag: 0x81891f 	
| V:1 D:0 Tag: 0x818920 	
| V:1 D:0 Tag: 0x81892b 	
| V:1 D:0 Tag: 0x81892c 	
| V:1 D:0 Tag: 0x818937 	
| V:1 D:0 Tag: 0x818938 	
| V:1 D:0 Tag: 0x81894f 	
| V:1 D:0 Tag: 0x818950 	
| V:1 D:0 Tag: 0x81895d 	
| V:1 D:0 Tag: 0x81895e 	
| V:1 D:0 Tag: 0x81896b 	
| V:1 D:0 Tag: 0x81896c 	
| V:1 D:0 Tag: 0x818979 	
| V:1 D:0 Tag: 0x81897a 	
| V:1 D:0 Tag: 0x818989 	
| V:1 D:0 Tag: 0x81898a 	
| V:1 D:0 Tag: 0x818999 	
| V:1 D:0 Tag: 0x81899a 	
| V:1 D:0 Tag: 0x8189a9 	
| V:1 D:0 Tag: 0x8189aa 	
| V:1 D:0 Tag: 0x8189c1 	
| V:1 D:0 Tag: 0x8189c2 	
| V:1 D:0 Tag: 0x8189d3 	
| V:1 D:0 Tag: 0x8189d4 	
| V:1 D:0 Tag: 0x8189e9 	
| V:1 D:0 Tag: 0x8189ea 	
| V:1 D:0 Tag: 0x40128f 	
| V:1 D:0 Tag: 0x80be06 	
| V:1 D:0 Tag: 0x804d5d 	
| V:1 D:1 Tag: 0x407fe90 	
| V:1 D:1 Tag: 0x407fe91 	
| V:1 D:1 Tag: 0x407fe8d 	
| V:1 D:0 Tag: 0x8034aa 	
| V:1 D:1 Tag: 0x407ffbe 	
| V:1 D:1 Tag: 0x407fe8f 	
| V:1 D:1 Tag: 0x407fe8e 	
| V:1 D:1 Tag: 0x401452 	
| V:1 D:1 Tag: 0x407fe8b 	
| V:1 D:0 Tag: 0x80459e 	
| V:1 D:0 Tag: 0x804a81 	
| V:1 D:1 Tag: 0x407feb3 	
| V:1 D:1 Tag: 0x407ffc3 	
| V:1 D:0 Tag: 0x803c98 	
| V:1 D:0 Tag: 0x804a70 	
| V:1 D:0 Tag: 0x804675 	

=========================L2==========================
Index: 0x0 | V:1 D:0 Tag: 0x400533 	
| V:1 D:0 Tag: 0x4002c6 	
| V:1 D:0 Tag: 0x400195 	
| V:1 D:0 Tag: 0x400294 	
| V:1 D:0 Tag: 0x400296 	
| V:1 D:0 Tag: 0x400295 	
| V:1 D:0 Tag: 0x400293 	
| V:1 D:0 Tag: 0x400292 	
| V:1 D:0 Tag: 0x4001ff 	
| V:1 D:0 Tag: 0x4001fe 	
| V:1 D:0 Tag: 0x4001fc 	
| V:1 D:0 Tag: 0x40241b 	
| V:1 D:0 Tag: 0x400291 	
| V:1 D:0 Tag: 0x400194 	
| V:1 D:0 Tag: 0x402416 	
| V:1 D:0 Tag: 0x4022cf 	
| V:1 D:0 Tag: 0x4002c5 	
| V:1 D:0 Tag: 0x4002c4 	
| V:1 D:0 Tag: 0x4002b7 	
| V:1 D:0 Tag: 0x4002b6 	
| V:1 D:0 Tag: 0x4022e6 	
| V:1 D:0 Tag: 0x4022e5 	
| V:1 D:0 Tag: 0x4022e7 	
| V:1 D:0 Tag: 0x4022e4 	
| V:1 D:1 Tag: 0x203ffeb 	
| V:1 D:0 Tag: 0x4001ef 	
| V:1 D:0 Tag: 0x4001f1 	
| V:1 D:0 Tag: 0x4001f0 	
| V:1 D:0 Tag: 0x4022dd 	
| V:1 D:0 Tag: 0x4001f8 	
| V:1 D:0 Tag: 0x4001ee 	
| V:1 D:0 Tag: 0x4001ed 	
| V:1 D:0 Tag: 0x4022de 	
| V:1 D:0 Tag: 0x4001ec 	
| V:1 D:0 Tag: 0x4001f6 	
| V:1 D:0 Tag: 0x4001eb 	
| V:1 D:0 Tag: 0x4001e4 	
| V:1 D:0 Tag: 0x4001e3 	
| V:1 D:0 Tag: 0x40241a 	
| V:1 D:0 Tag: 0x4022ce 	
| V:1 D:0 Tag: 0x4002b4 	
| V:1 D:0 Tag: 0x4022df 	
| V:1 D:0 Tag: 0x4022dc 	
| V:1 D:0 Tag: 0x4022d5 	
| V:1 D:0 Tag: 0x4002b5 	
| V:1 D:0 Tag: 0x4022d3 	
| V:1 D:0 Tag: 0x4022d4 	
| V:1 D:0 Tag: 0x4002b8 	
| V:1 D:0 Tag: 0x4022d6 	
| V:1 D:0 Tag: 0x4002b3 	
| V:1 D:0 Tag: 0x4002b2 	
| V:1 D:0 Tag: 0x4002b1 	
| V:1 D:0 Tag: 0x4002b0 	
| V:1 D:0 Tag: 0x4002c3 	
| V:1 D:0 Tag: 0x4000c1 	
| V:1 D:0 Tag: 0x40242d 	
| V:1 D:0 Tag: 0x40239f 	
| V:1 D:0 Tag: 0x4024fc 	
| V:1 D:0 Tag: 0x4000c0 	
| V:1 D:0 Tag: 0x40265b 	
| V:1 D:0 Tag: 0x4000bf 	
| V:1 D:0 Tag: 0x40000a 	
| V:1 D:0 Tag: 0x400009 	
| V:1 D:0 Tag: 0x4024f3 	
| V:1 D:0 Tag: 0x4024f4 	
| V:1 D:0 Tag: 0x400008 	
| V:1 D:0 Tag: 0x402591 	
| V:1 D:0 Tag: 0x401a4a 	
| V:1 D:0 Tag: 0x4000ba 	
| V:1 D:0 Tag: 0x4000b9 	
| V:1 D:0 Tag: 0x4024fb 	
| V:1 D:0 Tag: 0x4000be 	
| V:1 D:0 Tag: 0x40240a 	
| V:1 D:0 Tag: 0x4000bd 	
| V:1 D:0 Tag: 0x4000bc 	
| V:1 D:0 Tag: 0x4022c0 	
| V:1 D:0 Tag: 0x203ffee 	
| V:1 D:0 Tag: 0x4000ad 	
| V:1 D:0 Tag: 0x203ffef 	
| V:1 D:0 Tag: 0x400032 	
| V:1 D:0 Tag: 0x40004f 	
| V:1 D:0 Tag: 0x400396 	
| V:1 D:0 Tag: 0x40268f 	
| V:1 D:0 Tag: 0x400395 	
| V:1 D:0 Tag: 0x40038a 	
| V:1 D:0 Tag: 0x400391 	
| V:1 D:0 Tag: 0x40038e 	
| V:1 D:0 Tag: 0x40038d 	
| V:1 D:0 Tag: 0x402f00 	
| V:1 D:0 Tag: 0x40004e 	
| V:1 D:0 Tag: 0x4026b1 	
| V:1 D:0 Tag: 0x203ffe9 	
| V:1 D:0 Tag: 0x402690 	
| V:1 D:0 Tag: 0x400447 	
| V:1 D:0 Tag: 0x402506 	
| V:1 D:0 Tag: 0x200080 	
| V:1 D:0 Tag: 0x40004d 	
| V:1 D:0 Tag: 0x4026b0 	
| V:1 D:0 Tag: 0x40004c 	
| V:1 D:0 Tag: 0x400031 	
| V:1 D:0 Tag: 0x203ffec 	
| V:1 D:0 Tag: 0x400053 	
| V:1 D:0 Tag: 0x203ffed 	
| V:1 D:0 Tag: 0x400444 	
| V:1 D:0 Tag: 0x400448 	
| V:1 D:0 Tag: 0x402505 	
| V:1 D:0 Tag: 0x400387 	
| V:1 D:0 Tag: 0x40266f 	
| V:1 D:0 Tag: 0x400389 	
| V:1 D:0 Tag: 0x40038f 	
| V:1 D:0 Tag: 0x402bee 	
