filename = Config/All-FA_64.txt
L1ICost 1800
L1DCost 1800
I2 Size 65536
L2Cost 550
MainMemoryLatencyCost 50
BandwithCost 225
totalCost 4425
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x808d47 	
| V:1 D:1 Tag: 0x811f0a 	
| V:1 D:1 Tag: 0x407fb3c 	
| V:1 D:1 Tag: 0x407fb3b 	
| V:1 D:1 Tag: 0x407fb30 	
| V:1 D:0 Tag: 0x80e4e3 	
| V:1 D:0 Tag: 0x824178 	
| V:1 D:0 Tag: 0x80780b 	
| V:1 D:0 Tag: 0x8111ac 	
| V:1 D:0 Tag: 0x807810 	
| V:1 D:1 Tag: 0x407fb36 	
| V:1 D:1 Tag: 0x811b4d 	
| V:1 D:0 Tag: 0x8111ab 	
| V:1 D:0 Tag: 0x81029e 	
| V:1 D:0 Tag: 0x8111a7 	
| V:1 D:0 Tag: 0x811f2b 	
| V:1 D:0 Tag: 0x8111aa 	
| V:1 D:0 Tag: 0x823bae 	
| V:1 D:1 Tag: 0x407fb34 	
| V:1 D:0 Tag: 0x807809 	
| V:1 D:1 Tag: 0x811b4c 	
| V:1 D:1 Tag: 0x407fb33 	
| V:1 D:0 Tag: 0x80ff73 	
| V:1 D:1 Tag: 0x407fb2d 	
| V:1 D:0 Tag: 0x80e4ca 	
| V:1 D:0 Tag: 0x80e2c9 	
| V:1 D:0 Tag: 0x811083 	
| V:1 D:1 Tag: 0x811b4f 	
| V:1 D:1 Tag: 0x811b50 	
| V:1 D:0 Tag: 0x805971 	
| V:1 D:0 Tag: 0x81108a 	
| V:1 D:0 Tag: 0x811089 	
| V:1 D:1 Tag: 0x407fb39 	
| V:1 D:0 Tag: 0x80514b 	
| V:1 D:1 Tag: 0x407fb40 	
| V:1 D:1 Tag: 0x407fb3f 	
| V:1 D:1 Tag: 0x811807 	
| V:1 D:0 Tag: 0x81121d 	
| V:1 D:1 Tag: 0x407fb37 	
| V:1 D:1 Tag: 0x407fb35 	
| V:1 D:1 Tag: 0x407fb38 	
| V:1 D:1 Tag: 0x407fb2a 	
| V:1 D:1 Tag: 0x407fb2e 	
| V:1 D:1 Tag: 0x407fb27 	
| V:1 D:0 Tag: 0x8052c9 	
| V:1 D:0 Tag: 0x824197 	
| V:1 D:0 Tag: 0x8248e0 	
| V:1 D:1 Tag: 0x824193 	
| V:1 D:1 Tag: 0x8248df 	
| V:1 D:0 Tag: 0x823bca 	
| V:1 D:0 Tag: 0x82419a 	
| V:1 D:0 Tag: 0x824198 	
| V:1 D:0 Tag: 0x815e84 	
| V:1 D:0 Tag: 0x824199 	
| V:1 D:0 Tag: 0x823baf 	
