filename = Config/Base_64.txt
L1ICost 200
L1DCost 200
I2 Size 65536
L2Cost 50
MainMemoryLatencyCost 50
BandwithCost 225
totalCost 725
=========================L1I=========================
| V:1 D:0 Tag: 0x8052 	
| V:1 D:0 Tag: 0x8052 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
| V:1 D:0 Tag: 0x8077 	
=========================L1D=========================
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x8118 	
| V:1 D:1 Tag: 0x8118 	
| V:1 D:1 Tag: 0x8118 	
| V:1 D:1 Tag: 0x8118 	
| V:1 D:1 Tag: 0x8118 	
| V:1 D:1 Tag: 0x8118 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:1 Tag: 0x8118 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:1 Tag: 0x811f 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:1 Tag: 0x8241 	
| V:1 D:0 Tag: 0x811b 	
| V:1 D:0 Tag: 0x8078 	
| V:1 D:0 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x81fd 	
| V:1 D:0 Tag: 0x81fd 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8120 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x81fd 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x811f 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8112 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x805d 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x811b 	
| V:1 D:1 Tag: 0x811b 	
| V:1 D:0 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x811b 	
| V:1 D:1 Tag: 0x811b 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x80e2 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fd 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8059 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x80ff 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fc 	
| V:1 D:1 Tag: 0x8246 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x824a 	
| V:1 D:1 Tag: 0x824a 	
| V:1 D:1 Tag: 0x824a 	
| V:1 D:1 Tag: 0x824a 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8110 	
| V:1 D:0 Tag: 0x8110 	
| V:1 D:0 Tag: 0x8110 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8110 	
| V:1 D:0 Tag: 0x8110 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8102 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x8241 	
| V:1 D:0 Tag: 0x8102 	
| V:1 D:0 Tag: 0x8110 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:1 Tag: 0x407fb 	
| V:1 D:0 Tag: 0x8110 	
| V:1 D:1 Tag: 0x407fb 	
